Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
DW Hookes,Australia,39,3,1,28,1/2,29.0,28.0,5.79,0,0,1977,1986
DL Houghton,Zimbabwe,63,1,1,19,1/19,12.0,19.0,9.5,0,0,1983,1997
Iftikhar Ahmed,Pakistan,4,4,1,101,1/31,138.0,101.0,4.39,0,0,2015,2019
Ijaz Ahmed jnr,Pakistan,2,2,1,25,1/9,30.0,25.0,5.0,0,0,1997,1997
Imran Nazir,Pakistan,79,4,1,48,1/3,49.0,48.0,5.87,0,0,1999,2009
F Jansen,Netherlands,2,2,1,62,1/40,54.0,62.0,6.88,0,0,1996,1996
PS Jayaprakashdaran,Sri Lanka,1,1,1,21,1/21,36.0,21.0,3.5,0,0,2005,2005
TE Jesty,England,10,4,1,93,1/23,108.0,93.0,5.16,0,0,1983,1983
Joginder Sharma,India,4,4,1,115,1/28,150.0,115.0,4.6,0,0,2004,2007
HR Johnson,USA,2,2,1,69,1/26,60.0,69.0,6.9,0,0,2004,2004
S Jyoti,Canada,14,4,1,90,1/26,120.0,90.0,4.5,0,0,2006,2010
VG Kambli,India,104,1,1,7,1/7,4.0,7.0,10.5,0,0,1991,2000
Kashif Raza,Pakistan,1,1,1,36,1/36,30.0,36.0,7.2,0,0,2001,2001
GE Kidd,Ireland,6,5,1,172,1/27,216.0,172.0,4.77,0,0,2007,2008
R Lamba,India,32,3,1,20,1/9,19.0,20.0,6.31,0,0,1986,1989
D Lloyd,England,8,1,1,3,1/3,12.0,3.0,1.5,0,0,1973,1980
JL Louw,Namibia,1,1,1,60,1/60,60.0,60.0,6.0,0,0,2003,2003
SV Manjrekar,India,74,3,1,10,1/2,8.0,10.0,7.5,0,0,1988,1996
AV Mankad,India,1,1,1,47,1/47,35.0,47.0,8.05,0,0,1974,1974
Mansoor Amjad,Pakistan,1,1,1,44,1/44,48.0,44.0,5.5,0,0,2008,2008
AW Mathieson,New Zealand,1,1,1,40,1/40,24.0,40.0,10.0,0,0,2015,2015
DES Maxwell,Canada,10,3,1,70,1/23,72.0,70.0,5.83,0,0,2006,2007
PHKD Mendis,Sri Lanka,2,2,1,79,1/45,84.0,79.0,5.64,0,0,2019,2019
T Mishra,Kenya,42,2,1,12,1/6,9.0,12.0,8.0,0,0,2006,2013
Mohammad Abbas,Pakistan,3,3,1,153,1/44,162.0,153.0,5.66,0,0,2019,2019
Mohammad Yousuf,Pakistan,288,2,1,1,1/0,2.0,1.0,3.0,0,0,1998,2010
Mohsin Khan,Pakistan,75,2,1,5,1/2,12.0,5.0,2.5,0,0,1977,1986
Mujahid Jamshed,Pakistan,4,1,1,6,1/6,24.0,6.0,1.5,0,0,1997,1997
W Mwayenga,Zimbabwe,3,3,1,157,1/61,126.0,157.0,7.47,0,0,2002,2004
J Nagenda,South Africa,1,1,1,50,1/50,54.0,50.0,5.55,0,0,1975,1975
PG Nana,South Africa,3,3,1,116,1/34,173.0,116.0,4.02,0,0,1975,1975
DP Nannes,Australia,1,1,1,20,1/20,42.0,20.0,2.85,0,0,2009,2009
SV Nayak,India,4,4,1,161,1/51,222.0,161.0,4.35,0,0,1981,1982
A Ndlovu,Zimbabwe,2,2,1,80,1/29,102.0,80.0,4.7,0,0,2019,2019
Neeyamur Rashid,Bangladesh,2,2,1,66,1/46,78.0,66.0,5.07,0,0,1999,1999
A Neill,Scotland,1,1,1,24,1/24,55.0,24.0,2.61,0,0,2019,2019
AA Noffke,Australia,1,1,1,46,1/46,54.0,46.0,5.11,0,0,2008,2008
SD Outerbridge,Bermuda,23,7,1,94,1/11,120.0,94.0,4.7,0,0,2006,2009
JS Paris,Australia,2,2,1,93,1/40,96.0,93.0,5.81,0,0,2016,2016
JM Parker,New Zealand,24,1,1,10,1/10,16.0,10.0,3.75,0,0,1974,1981
AJ Penn,New Zealand,5,5,1,201,1/50,159.0,201.0,7.58,0,0,1997,2001
N Phillip,West Indies,1,1,1,22,1/22,42.0,22.0,3.14,0,0,1978,1978
PM Pushpakumara,Sri Lanka,2,2,1,105,1/40,114.0,105.0,5.52,0,0,2017,2017
S Ramesh,India,24,3,1,38,1/23,36.0,38.0,6.33,0,0,1999,1999
N Ranatunga,Sri Lanka,2,2,1,82,1/33,102.0,82.0,4.82,0,0,1993,1993
SHA Rance,New Zealand,2,2,1,110,1/44,105.0,110.0,6.28,0,0,2017,2017
U Ranchod,Zimbabwe,3,3,1,130,1/44,174.0,130.0,4.48,0,0,1992,1993
DW Randall,England,49,1,1,2,1/2,2.0,2.0,6.0,0,0,1976,1985
Randhir Singh,India,2,2,1,48,1/30,72.0,48.0,4.0,0,0,1981,1983
SS Raul,India,2,2,1,27,1/13,36.0,27.0,4.5,0,0,1998,1998
Raza-ur-Rehman,Canada,6,5,1,128,1/59,122.0,128.0,6.29,0,0,2013,2014
Raza Hasan,Pakistan,1,1,1,68,1/68,60.0,68.0,6.8,0,0,2014,2014
V Razdan,India,3,3,1,77,1/37,84.0,77.0,5.5,0,0,1989,1990
CA Reid,USA,2,2,1,63,1/37,78.0,63.0,4.84,0,0,2004,2004
RB Reid,New Zealand,9,1,1,13,1/13,7.0,13.0,11.14,0,0,1988,1991
RB Richardson,West Indies,224,6,1,46,1/4,58.0,46.0,4.75,0,0,1983,1996
ADG Roberts,New Zealand,1,1,1,30,1/30,56.0,30.0,3.21,0,0,1976,1976
